comment,likes,cleaned,case_folded,tokenized,stopword_removed,stemmed,final_text,komentar_bersih,label
12 kali 12 144<br>It&#39;s so easy,0,12 kali 12 Its so easy,12 kali 12 its so easy,"['12', 'kali', '12', 'its', 'so', 'easy']","['12', 'kali', '12', 'its', 'so', 'easy']","['12', 'kali', '12', 'its', 'so', 'easy']",12 kali 12 its so easy,12 kali 12 its so easy,Netral
30 kuadrat 900<br>100 kali 100 10.000,0,30 kuadrat kali 10,30 kuadrat kali 10,"['30', 'kuadrat', 'kali', '10']","['30', 'kuadrat', 'kali', '10']","['30', 'kuadrat', 'kali', '10']",30 kuadrat kali 10,30 kuadrat kali 10,Netral
waras bgt yang pake baju warna biru,0,waras banget yang pake baju warna biru,waras banget yang pake baju warna biru,"['waras', 'banget', 'yang', 'pake', 'baju', 'warna', 'biru']","['waras', 'banget', 'pake', 'baju', 'warna', 'biru']","['waras', 'banget', 'pake', 'baju', 'warna', 'biru']",waras banget pake baju warna biru,waras banget pake baju warna biru,Positif
Undang pak benny bapaknya abe 😭,0,Undang pak benny bapaknya abe,undang pak benny bapaknya abe,"['undang', 'pak', 'benny', 'bapaknya', 'abe']","['undang', 'benny', 'bapaknya', 'abe']","['undang', 'benny', 'bapak', 'abe']",undang benny bapak abe,undang benny bapak abe,Netral
NGAKAK,0,NGAKAK,ngakak,['ngakak'],['ngakak'],['ngakak'],ngakak,ngakak,Positif
Kok nyambung sii wkwk,0,Kok nyambung sii wkwk,kok nyambung sii wkwk,"['kok', 'nyambung', 'sii', 'wkwk']","['nyambung', 'sii', 'wkwk']","['nyambung', 'sii', 'wkwk']",nyambung sii wkwk,nyambung sii wkwk,Positif
syeryu byangyet 😢,0,syeryu byangyet,syeryu byangyet,"['syeryu', 'byangyet']","['syeryu', 'byangyet']","['syeryu', 'byangyet']",syeryu byangyet,syeryu byangyet,Positif
ternyata sandy setipe GAKUAT,2,ternyata sandy setipe GAKUAT,ternyata sandy setipe gakuat,"['ternyata', 'sandy', 'setipe', 'gakuat']","['sandy', 'setipe', 'gakuat']","['sandy', 'tipe', 'gakuat']",sandy tipe gakuat,sandy tipe gakuat,Negatif
kalo rewatch ini jd inget perna ketemu niky terus fyi bgt bilang aku juga lahir 1 mei literally 1999 jugak hahaha malu bgt lagi kalo diinget tp seneng ketemu niky!111!!!!,0,kalo rewatch ini jadi inget perna ketemu niky terus fyi banget bilang aku juga lahir 1 mei literally jugak hahaha malu banget lagi kalo diinget tapi seneng ketemu niky,kalo rewatch ini jadi inget perna ketemu niky terus fyi banget bilang aku juga lahir 1 mei literally jugak hahaha malu banget lagi kalo diinget tapi seneng ketemu niky,"['kalo', 'rewatch', 'ini', 'jadi', 'inget', 'perna', 'ketemu', 'niky', 'terus', 'fyi', 'banget', 'bilang', 'aku', 'juga', 'lahir', '1', 'mei', 'literally', 'jugak', 'hahaha', 'malu', 'banget', 'lagi', 'kalo', 'diinget', 'tapi', 'seneng', 'ketemu', 'niky']","['kalo', 'rewatch', 'inget', 'perna', 'ketemu', 'niky', 'fyi', 'banget', 'bilang', 'lahir', '1', 'mei', 'literally', 'jugak', 'hahaha', 'malu', 'banget', 'kalo', 'diinget', 'seneng', 'ketemu', 'niky']","['kalo', 'rewatch', 'inget', 'perna', 'ketemu', 'niky', 'fyi', 'banget', 'bilang', 'lahir', '1', 'mei', 'literally', 'jugak', 'hahaha', 'malu', 'banget', 'kalo', 'diinget', 'neng', 'ketemu', 'niky']",kalo rewatch inget perna ketemu niky fyi banget bilang lahir 1 mei literally jugak hahaha malu banget kalo diinget neng ketemu niky,kalo rewatch inget perna ketemu niky fyi banget bilang lahir 1 mei literally jugak hahaha malu banget kalo diinget neng ketemu niky,Positif
sandy salah pergaulan,1,sandy salah pergaulan,sandy salah pergaulan,"['sandy', 'salah', 'pergaulan']","['sandy', 'salah', 'pergaulan']","['sandy', 'salah', 'gaul']",sandy salah gaul,sandy salah gaul,Negatif
Seruu lanjut ep2 sm sandyy,0,Seruu lanjut ep2 sama sandyy,seruu lanjut ep2 sama sandyy,"['seruu', 'lanjut', 'ep2', 'sama', 'sandyy']","['seruu', 'ep2', 'sandyy']","['seruu', 'ep2', 'sandyy']",seruu ep2 sandyy,seruu ep2 sandyy,Positif
bahagia in aku dong sandy,0,bahagia in aku dong sandy,bahagia in aku dong sandy,"['bahagia', 'in', 'aku', 'dong', 'sandy']","['bahagia', 'in', 'sandy']","['bahagia', 'in', 'sandy']",bahagia in sandy,bahagia in sandy,Positif
Ngakak banget ngelihat 3 manusia super jenius ini 😂,0,Ngakak banget ngelihat 3 manusia super jenius ini,ngakak banget ngelihat 3 manusia super jenius ini,"['ngakak', 'banget', 'ngelihat', '3', 'manusia', 'super', 'jenius', 'ini']","['ngakak', 'banget', 'ngelihat', '3', 'manusia', 'super', 'jenius']","['ngakak', 'banget', 'ngelihat', '3', 'manusia', 'super', 'jenius']",ngakak banget ngelihat 3 manusia super jenius,ngakak banget ngelihat 3 manusia super jenius,Positif
gwhh jugaa 1 mayy bedaa tahun ajaa,0,gwhh jugaa 1 mayy bedaa tahun ajaa,gwhh jugaa 1 mayy bedaa tahun ajaa,"['gwhh', 'jugaa', '1', 'mayy', 'bedaa', 'tahun', 'ajaa']","['gwhh', 'jugaa', '1', 'mayy', 'bedaa', 'ajaa']","['gwhh', 'jugaa', '1', 'mayy', 'bedaa', 'ajaa']",gwhh jugaa 1 mayy bedaa ajaa,gwhh jugaa 1 mayy bedaa ajaa,Positif
ini temannya emng ADHD gini? 😢,0,ini temannya emng ADHD gini,ini temannya emng adhd gini,"['ini', 'temannya', 'emng', 'adhd', 'gini']","['temannya', 'emng', 'adhd', 'gini']","['teman', 'emng', 'adhd', 'gin']",teman emng adhd gin,teman emng adhd gin,Netral
"sebenernya ak lgi nonton apa ini, kok ga terarah kyk hubunganku dengannya😢",0,sebenernya saya lgi nonton apa ini kok ga terarah kyk hubunganku dengannya,sebenernya saya lgi nonton apa ini kok ga terarah kyk hubunganku dengannya,"['sebenernya', 'saya', 'lgi', 'nonton', 'apa', 'ini', 'kok', 'ga', 'terarah', 'kyk', 'hubunganku', 'dengannya']","['sebenernya', 'lgi', 'nonton', 'ga', 'terarah', 'kyk', 'hubunganku', 'dengannya']","['sebenernya', 'lgi', 'nonton', 'ga', 'arah', 'kyk', 'hubung', 'dengan']",sebenernya lgi nonton ga arah kyk hubung dengan,sebenernya lgi nonton ga arah kyk hubung dengan,Negatif
"stop mario ikut ngomong waktu sandy spill rumusnya, ngga denger woy 😭😭",2,stop mario ikut ngomong waktu sandy spill rumusnya ngga denger woy,stop mario ikut ngomong waktu sandy spill rumusnya ngga denger woy,"['stop', 'mario', 'ikut', 'ngomong', 'waktu', 'sandy', 'spill', 'rumusnya', 'ngga', 'denger', 'woy']","['stop', 'mario', 'ngomong', 'sandy', 'spill', 'rumusnya', 'ngga', 'denger', 'woy']","['stop', 'mario', 'ngomong', 'sandy', 'spill', 'rumus', 'ngga', 'denger', 'woy']",stop mario ngomong sandy spill rumus ngga denger woy,stop mario ngomong sandy spill rumus ngga denger woy,Negatif
Waduh pertama kali liat podcast nih,0,Waduh pertama kali liat podcast nih,waduh pertama kali liat podcast nih,"['waduh', 'pertama', 'kali', 'liat', 'podcast', 'nih']","['kali', 'liat', 'podcast', 'nih']","['kali', 'liat', 'podcast', 'nih']",kali liat podcast nih,kali liat podcast nih,Netral
Kok bisa nyambung Shandy..... 😅😅😅,0,Kok bisa nyambung Shandy,kok bisa nyambung shandy,"['kok', 'bisa', 'nyambung', 'shandy']","['nyambung', 'shandy']","['nyambung', 'shandy']",nyambung shandy,nyambung shandy,Positif
Spiker bisa mendengar...kn ada spiker yg bisa rekam,1,Spiker bisa mendengarkn ada spiker yang bisa rekam,spiker bisa mendengarkn ada spiker yang bisa rekam,"['spiker', 'bisa', 'mendengarkn', 'ada', 'spiker', 'yang', 'bisa', 'rekam']","['spiker', 'mendengarkn', 'spiker', 'rekam']","['spiker', 'mendengarkn', 'spiker', 'rekam']",spiker mendengarkn spiker rekam,spiker mendengarkn spiker rekam,Netral
episode aneh banget wkwkwkkwkw,0,episode aneh banget wkwkwkkwkw,episode aneh banget wkwkwkkwkw,"['episode', 'aneh', 'banget', 'wkwkwkkwkw']","['episode', 'aneh', 'banget', 'wkwkwkkwkw']","['episode', 'aneh', 'banget', 'wkwkwkkwkw']",episode aneh banget wkwkwkkwkw,episode aneh banget wkwkwkkwkw,Negatif
"Demi apapun gua ga berenti ketawa anjir😭😭 posisinya lagi beberes rumah, tapi telinga nempel dihp dan kerjaan rumah jdi lama slesai krna gua ketawa mulu",0,Demi apapun gua ga berenti ketawa anjir posisinya lagi beberes rumah tapi telinga nempel dihp dan kerjaan rumah jdi lama slesai krna gua ketawa mulu,demi apapun gua ga berenti ketawa anjir posisinya lagi beberes rumah tapi telinga nempel dihp dan kerjaan rumah jdi lama slesai krna gua ketawa mulu,"['demi', 'apapun', 'gua', 'ga', 'berenti', 'ketawa', 'anjir', 'posisinya', 'lagi', 'beberes', 'rumah', 'tapi', 'telinga', 'nempel', 'dihp', 'dan', 'kerjaan', 'rumah', 'jdi', 'lama', 'slesai', 'krna', 'gua', 'ketawa', 'mulu']","['apapun', 'gua', 'ga', 'berenti', 'ketawa', 'anjir', 'posisinya', 'beberes', 'rumah', 'telinga', 'nempel', 'dihp', 'kerjaan', 'rumah', 'jdi', 'slesai', 'krna', 'gua', 'ketawa', 'mulu']","['apa', 'gua', 'ga', 'renti', 'ketawa', 'anjir', 'posisi', 'beberes', 'rumah', 'telinga', 'nempel', 'dihp', 'kerja', 'rumah', 'jdi', 'slesai', 'krna', 'gua', 'ketawa', 'mulu']",apa gua ga renti ketawa anjir posisi beberes rumah telinga nempel dihp kerja rumah jdi slesai krna gua ketawa mulu,apa gua ga renti ketawa anjir posisi beberes rumah telinga nempel dihp kerja rumah jdi slesai krna gua ketawa mulu,Positif
Sandy selalu sebut nama Axel begitupun Axel slalu sbut nama Sandy🥺,0,Sandy selalu sebut nama Axel begitupun Axel slalu sbut nama Sandy,sandy selalu sebut nama axel begitupun axel slalu sbut nama sandy,"['sandy', 'selalu', 'sebut', 'nama', 'axel', 'begitupun', 'axel', 'slalu', 'sbut', 'nama', 'sandy']","['sandy', 'nama', 'axel', 'axel', 'slalu', 'sbut', 'nama', 'sandy']","['sandy', 'nama', 'axel', 'axel', 'slalu', 'sbut', 'nama', 'sandy']",sandy nama axel axel slalu sbut nama sandy,sandy nama axel axel slalu sbut nama sandy,Netral
ending nya ga pernah gagal T.T,0,ending nya ga pernah gagal TT,ending nya ga pernah gagal tt,"['ending', 'nya', 'ga', 'pernah', 'gagal', 'tt']","['ending', 'nya', 'ga', 'gagal', 'tt']","['ending', 'nya', 'ga', 'gagal', 'tt']",ending nya ga gagal tt,ending nya ga gagal tt,Positif
k podcast nemu kembaran,0,k podcast nemu kembaran,k podcast nemu kembaran,"['k', 'podcast', 'nemu', 'kembaran']","['k', 'podcast', 'nemu', 'kembaran']","['k', 'podcast', 'nemu', 'kembar']",k podcast nemu kembar,k podcast nemu kembar,Netral
gua nonton nya pas tgl 25 lagi 😅,0,gua nonton nya pas tanggal 25 lagi,gua nonton nya pas tanggal 25 lagi,"['gua', 'nonton', 'nya', 'pas', 'tanggal', '25', 'lagi']","['gua', 'nonton', 'nya', 'pas', 'tanggal', '25']","['gua', 'nonton', 'nya', 'pas', 'tanggal', '25']",gua nonton nya pas tanggal 25,gua nonton nya pas tanggal 25,Netral
"ditegur org kantor karna ketawa sendiri, padahal w cuman dengar lewat headset ga sambil liat gambarnyaa pun bisa lucu😭😭",0,ditegur org kantor karna ketawa sendiri padahal w cuman dengar lewat headset ga sambil liat gambarnyaa pun bisa lucu,ditegur org kantor karna ketawa sendiri padahal w cuman dengar lewat headset ga sambil liat gambarnyaa pun bisa lucu,"['ditegur', 'org', 'kantor', 'karna', 'ketawa', 'sendiri', 'padahal', 'w', 'cuman', 'dengar', 'lewat', 'headset', 'ga', 'sambil', 'liat', 'gambarnyaa', 'pun', 'bisa', 'lucu']","['ditegur', 'org', 'kantor', 'karna', 'ketawa', 'w', 'cuman', 'dengar', 'headset', 'ga', 'liat', 'gambarnyaa', 'lucu']","['tegur', 'org', 'kantor', 'karna', 'ketawa', 'w', 'cuman', 'dengar', 'headset', 'ga', 'liat', 'gambarnyaa', 'lucu']",tegur org kantor karna ketawa w cuman dengar headset ga liat gambarnyaa lucu,tegur org kantor karna ketawa w cuman dengar headset ga liat gambarnyaa lucu,Positif
Nungguin part 2 nya,0,Nungguin part 2 nya,nungguin part 2 nya,"['nungguin', 'part', '2', 'nya']","['nungguin', 'part', '2', 'nya']","['nungguin', 'part', '2', 'nya']",nungguin part 2 nya,nungguin part 2 nya,Positif
Kak sandy mau tanya cara biar masuk coc aku mei 11,0,Kak sandy mau tanya cara biar masuk coc aku mei 11,kak sandy mau tanya cara biar masuk coc aku mei 11,"['kak', 'sandy', 'mau', 'tanya', 'cara', 'biar', 'masuk', 'coc', 'aku', 'mei', '11']","['kak', 'sandy', 'biar', 'masuk', 'coc', 'mei', '11']","['kak', 'sandy', 'biar', 'masuk', 'coc', 'mei', '11']",kak sandy biar masuk coc mei 11,kak sandy biar masuk coc mei 11,Netral
gg,0,gg,gg,['gg'],['gg'],['gg'],gg,gg,Positif
&quot;gausa ikutan&quot; KWKKWKKWKWKW,0,gausa ikutan KWKKWKKWKWKW,gausa ikutan kwkkwkkwkwkw,"['gausa', 'ikutan', 'kwkkwkkwkwkw']","['gausa', 'ikutan', 'kwkkwkkwkwkw']","['gausa', 'ikut', 'kwkkwkkwkwkw']",gausa ikut kwkkwkkwkwkw,gausa ikut kwkkwkkwkwkw,Positif
"ih gila lucu banget lagi. nyambuuungg bener si sandy, kacauuuu",0,ih gila lucu banget lagi nyambuuungg bener si sandy kacauuuu,ih gila lucu banget lagi nyambuuungg bener si sandy kacauuuu,"['ih', 'gila', 'lucu', 'banget', 'lagi', 'nyambuuungg', 'bener', 'si', 'sandy', 'kacauuuu']","['ih', 'gila', 'lucu', 'banget', 'nyambuuungg', 'bener', 'si', 'sandy', 'kacauuuu']","['ih', 'gila', 'lucu', 'banget', 'nyambuuungg', 'bener', 'si', 'sandy', 'kacauuuu']",ih gila lucu banget nyambuuungg bener si sandy kacauuuu,ih gila lucu banget nyambuuungg bener si sandy kacauuuu,Positif
Kenapa Sandy bisa nyambung ngobrol sm ni pulu pulu ya?,0,Kenapa Sandy bisa nyambung ngobrol sama ni pulu pulu ya,kenapa sandy bisa nyambung ngobrol sama ni pulu pulu ya,"['kenapa', 'sandy', 'bisa', 'nyambung', 'ngobrol', 'sama', 'ni', 'pulu', 'pulu', 'ya']","['sandy', 'nyambung', 'ngobrol', 'ni', 'pulu', 'pulu', 'ya']","['sandy', 'nyambung', 'ngobrol', 'ni', 'pulu', 'pulu', 'ya']",sandy nyambung ngobrol ni pulu pulu ya,sandy nyambung ngobrol ni pulu pulu ya,Negatif
"rewatch ini ampe 3x lebih,seru bgt pokonyaaa!!!!!!❤❤❤",0,rewatch ini ampe 3x lebihseru banget pokonyaaa,rewatch ini ampe 3x lebihseru banget pokonyaaa,"['rewatch', 'ini', 'ampe', '3x', 'lebihseru', 'banget', 'pokonyaaa']","['rewatch', 'ampe', '3x', 'lebihseru', 'banget', 'pokonyaaa']","['rewatch', 'ampe', '3x', 'lebihseru', 'banget', 'pokonyaaa']",rewatch ampe 3x lebihseru banget pokonyaaa,rewatch ampe 3x lebihseru banget pokonyaaa,Positif
isi podcast ini kaya pikiran gw kalo lagi demam tinggi,0,isi podcast ini kaya pikiran saya kalo lagi demam tinggi,isi podcast ini kaya pikiran saya kalo lagi demam tinggi,"['isi', 'podcast', 'ini', 'kaya', 'pikiran', 'saya', 'kalo', 'lagi', 'demam', 'tinggi']","['isi', 'podcast', 'kaya', 'pikiran', 'kalo', 'demam']","['isi', 'podcast', 'kaya', 'pikir', 'kalo', 'demam']",isi podcast kaya pikir kalo demam,isi podcast kaya pikir kalo demam,Negatif
WOI DEMI SUMPAH GUA YANG NONTON JUGA 1 MEIIII<br><br>cheerss!!❤,0,WOI DEMI SUMPAH GUA YANG NONTON JUGA 1 MEIIII cheerss,woi demi sumpah gua yang nonton juga 1 meiiii cheerss,"['woi', 'demi', 'sumpah', 'gua', 'yang', 'nonton', 'juga', '1', 'meiiii', 'cheerss']","['woi', 'sumpah', 'gua', 'nonton', '1', 'meiiii', 'cheerss']","['woi', 'sumpah', 'gua', 'nonton', '1', 'meiiii', 'cheerss']",woi sumpah gua nonton 1 meiiii cheerss,woi sumpah gua nonton 1 meiiii cheerss,Positif
WKWKWK KOCAK BGT SEFREKUENSI WARASNYEEEE,0,WKWKWK KOCAK banget SEFREKUENSI WARASNYEEEE,wkwkwk kocak banget sefrekuensi warasnyeeee,"['wkwkwk', 'kocak', 'banget', 'sefrekuensi', 'warasnyeeee']","['wkwkwk', 'kocak', 'banget', 'sefrekuensi', 'warasnyeeee']","['wkwkwk', 'kocak', 'banget', 'frekuensi', 'warasnyeeee']",wkwkwk kocak banget frekuensi warasnyeeee,wkwkwk kocak banget frekuensi warasnyeeee,Positif
Makin kebelakang makin ngakak😂,0,Makin kebelakang makin ngakak,makin kebelakang makin ngakak,"['makin', 'kebelakang', 'makin', 'ngakak']","['kebelakang', 'ngakak']","['belakang', 'ngakak']",belakang ngakak,belakang ngakak,Positif
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1195"">19:55</a> gejala turun iq😂",3,gejala turun iq,gejala turun iq,"['gejala', 'turun', 'iq']","['gejala', 'turun', 'iq']","['gejala', 'turun', 'iq']",gejala turun iq,gejala turun iq,Negatif
Ksinii gara²liatt kepo di tiktokk😢😢,0,Ksinii garaliatt kepo di tiktokk,ksinii garaliatt kepo di tiktokk,"['ksinii', 'garaliatt', 'kepo', 'di', 'tiktokk']","['ksinii', 'garaliatt', 'kepo', 'tiktokk']","['ksinii', 'garaliatt', 'kepo', 'tiktokk']",ksinii garaliatt kepo tiktokk,ksinii garaliatt kepo tiktokk,Netral
"Dear the future wife of orang waras ini, sabar yaaa 😊",0,Dear the future wife of orang waras ini sabar yaaa,dear the future wife of orang waras ini sabar yaaa,"['dear', 'the', 'future', 'wife', 'of', 'orang', 'waras', 'ini', 'sabar', 'yaaa']","['dear', 'the', 'future', 'wife', 'of', 'orang', 'waras', 'sabar', 'yaaa']","['dear', 'the', 'future', 'wife', 'of', 'orang', 'waras', 'sabar', 'yaaa']",dear the future wife of orang waras sabar yaaa,dear the future wife of orang waras sabar yaaa,Positif
"STOP, MASKER GUA RETAK GRAGRA NONTON NI PODCAST",0,STOP MASKER GUA RETAK GRAGRA NONTON NI PODCAST,stop masker gua retak gragra nonton ni podcast,"['stop', 'masker', 'gua', 'retak', 'gragra', 'nonton', 'ni', 'podcast']","['stop', 'masker', 'gua', 'retak', 'gragra', 'nonton', 'ni', 'podcast']","['stop', 'masker', 'gua', 'retak', 'gragra', 'nonton', 'ni', 'podcast']",stop masker gua retak gragra nonton ni podcast,stop masker gua retak gragra nonton ni podcast,Netral
"apaaan sih WKWKWKW, ga berhenti ngakak",0,apaaan sih WKWKWKW ga berhenti ngakak,apaaan sih wkwkwkw ga berhenti ngakak,"['apaaan', 'sih', 'wkwkwkw', 'ga', 'berhenti', 'ngakak']","['apaaan', 'sih', 'wkwkwkw', 'ga', 'berhenti', 'ngakak']","['apaaan', 'sih', 'wkwkwkw', 'ga', 'henti', 'ngakak']",apaaan sih wkwkwkw ga henti ngakak,apaaan sih wkwkwkw ga henti ngakak,Positif
Sandy lucu banget,0,Sandy lucu banget,sandy lucu banget,"['sandy', 'lucu', 'banget']","['sandy', 'lucu', 'banget']","['sandy', 'lucu', 'banget']",sandy lucu banget,sandy lucu banget,Positif
ngakak bgt pls 😭😭,0,ngakak banget pls,ngakak banget pls,"['ngakak', 'banget', 'pls']","['ngakak', 'banget', 'pls']","['ngakak', 'banget', 'pls']",ngakak banget pls,ngakak banget pls,Positif
"niky ih, i love mihu mihu🤭",0,niky ih i love mihu mihu,niky ih i love mihu mihu,"['niky', 'ih', 'i', 'love', 'mihu', 'mihu']","['niky', 'ih', 'i', 'love', 'mihu', 'mihu']","['niky', 'ih', 'i', 'love', 'mihu', 'mihu']",niky ih i love mihu mihu,niky ih i love mihu mihu,Positif
sandy humble dan masuk semua jalur yaa😂,0,sandy humble dan masuk semua jalur yaa,sandy humble dan masuk semua jalur yaa,"['sandy', 'humble', 'dan', 'masuk', 'semua', 'jalur', 'yaa']","['sandy', 'humble', 'masuk', 'jalur', 'yaa']","['sandy', 'humble', 'masuk', 'jalur', 'yaa']",sandy humble masuk jalur yaa,sandy humble masuk jalur yaa,Netral
"Sandyyy tuh manusia yang sangat flexible ya, the real jenius 😭🤏🏻<br>Ayok bikin podcast lagi kalian bertigaaaa",0,Sandyyy tuh manusia yang sangat flexible ya the real jenius Ayok bikin podcast lagi kalian bertigaaaa,sandyyy tuh manusia yang sangat flexible ya the real jenius ayok bikin podcast lagi kalian bertigaaaa,"['sandyyy', 'tuh', 'manusia', 'yang', 'sangat', 'flexible', 'ya', 'the', 'real', 'jenius', 'ayok', 'bikin', 'podcast', 'lagi', 'kalian', 'bertigaaaa']","['sandyyy', 'tuh', 'manusia', 'flexible', 'ya', 'the', 'real', 'jenius', 'ayok', 'bikin', 'podcast', 'bertigaaaa']","['sandyyy', 'tuh', 'manusia', 'flexible', 'ya', 'the', 'real', 'jenius', 'ayok', 'bikin', 'podcast', 'bertigaaaa']",sandyyy tuh manusia flexible ya the real jenius ayok bikin podcast bertigaaaa,sandyyy tuh manusia flexible ya the real jenius ayok bikin podcast bertigaaaa,Positif
takut pas nonton ini langsung keterima di universitas negeri Singapore,2,takut pas nonton ini langsung keterima di universitas negeri Singapore,takut pas nonton ini langsung keterima di universitas negeri singapore,"['takut', 'pas', 'nonton', 'ini', 'langsung', 'keterima', 'di', 'universitas', 'negeri', 'singapore']","['takut', 'pas', 'nonton', 'langsung', 'keterima', 'universitas', 'negeri', 'singapore']","['takut', 'pas', 'nonton', 'langsung', 'terima', 'universitas', 'negeri', 'singapore']",takut pas nonton langsung terima universitas negeri singapore,takut pas nonton langsung terima universitas negeri singapore,Negatif
sandy pulang nak,1,sandy pulang nak,sandy pulang nak,"['sandy', 'pulang', 'nak']","['sandy', 'pulang', 'nak']","['sandy', 'pulang', 'nak']",sandy pulang nak,sandy pulang nak,Netral
"<a href=""https://www.youtube.com/watch?v=CaklHISbki8&amp;t=1912"">31:52</a> mendengar pun tak sudi",0,mendengar pun tak sudi,mendengar pun tak sudi,"['mendengar', 'pun', 'tak', 'sudi']","['mendengar', 'sudi']","['dengar', 'sudi']",dengar sudi,dengar sudi,Negatif
si sandy modal banget datang ke podcast ini wkwkwkwk,2,si sandy modal banget datang ke podcast ini wkwkwkwk,si sandy modal banget datang ke podcast ini wkwkwkwk,"['si', 'sandy', 'modal', 'banget', 'datang', 'ke', 'podcast', 'ini', 'wkwkwkwk']","['si', 'sandy', 'modal', 'banget', 'podcast', 'wkwkwkwk']","['si', 'sandy', 'modal', 'banget', 'podcast', 'wkwkwkwk']",si sandy modal banget podcast wkwkwkwk,si sandy modal banget podcast wkwkwkwk,Positif
DEMI ALLAH PIPI GW SAKIT BGT NYENGIR MLU,0,DEMI ALLAH PIPI saya SAKIT banget NYENGIR MLU,demi allah pipi saya sakit banget nyengir mlu,"['demi', 'allah', 'pipi', 'saya', 'sakit', 'banget', 'nyengir', 'mlu']","['allah', 'pipi', 'sakit', 'banget', 'nyengir', 'mlu']","['allah', 'pipi', 'sakit', 'banget', 'nyengir', 'mlu']",allah pipi sakit banget nyengir mlu,allah pipi sakit banget nyengir mlu,Positif
